Recipe_ID,Source,Cuisine,Sub-Category,Dish Name,Servings,Calories per Serving,Total Fat (g),Saturated Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Image URL,Item Page Link
42,Rishi,Cocktails,Drinks,Cocktail: London Calling,1,166,0,0,0,0,0,0,1,24,9,0,5,0,/images/recipes/london-calling.jpeg,https://www.myfitnesspal.com/recipe/view/199569735331133
53,Rishi,Cocktails,Drinks,Cocktail: M and M,1,158,0,0,0,0,0,0,0,0,22,0,0,0,/images/recipes/m-and-m.jpg,https://www.myfitnesspal.com/recipe/view/169212886625709
48,Rishi,Cocktails,Drinks,Cocktail: Moscow Mule,1,182,0,0,0,0,0,0,16,0,16,0,16,0,/images/recipes/moscow-mule.jpg,https://www.myfitnesspal.com/recipe/view/164531484315197
3,Rishi,Cocktails,Drinks,Cocktail: Negroni Sbagliato,1,174,0,0,0,0,0,0,7,0,12,0,10,0,/images/recipes/negroni-sbagliato.jpg,https://www.myfitnesspal.com/recipe/view/234227965529645
32,Rishi,Cocktails,Drinks,Cocktail: Pimms & Ginger,6,74,0,0,0,0,0,0,1,0,4,1,1,0,/images/recipes/kathal-biryani.jpg,https://www.myfitnesspal.com/recipe/view/278474824453437
44,Rishi,Cocktails,Drinks,Cocktail: Prohibition,1,230,0,0,0,0,0,0,2,36,10,0,9,0,/images/recipes/pohibition.jpg,https://www.myfitnesspal.com/recipe/view/159985139805309
19,Rishi,Cocktails,Drinks,Cocktail: Rum-Pyaari,2,159,0,7,0,0,0,0,19,0,9,0,9,0,/images/recipes/rum-pyaari.jpg,https://www.myfitnesspal.com/recipe/view/234356827180845
6,Rishi,Cocktails,Drinks,Cocktail: Spritz Al Bitter (Spritz Veneziano),1,133,0,0,0,0,0,0,8,0,11,0,0,0,/images/recipes/spritz-bitter.jpg,https://www.myfitnesspal.com/recipe/view/269824764661677
25,Rishi,Cocktails,Drinks,Cocktail: The Dirty Martini,1,162,1,0,0,0,0,0,614,14,35,0,1,0,/images/recipes/dirty-martini.jpg,https://www.myfitnesspal.com/recipe/view/265952896708141
15,Rishi,Cocktails,Drinks,Cocktail: The Right Hand,1,180,0,0,0,0,0,0,12,0,6,0,6,0,/images/recipes/right-hand.jpg,https://www.myfitnesspal.com/recipe/view/208666439372461
36,Rishi,Asian,Curry,Tempeh Green Beans Curry,6,248,17,12,0,0,0,0,486,278,7,6,7,10,/images/recipes/tempeh-beans.jpg,https://www.myfitnesspal.com/recipe/view/199861776272573
55,Rishi,Italian/Western,Pasta,Almost Cheeseless Pasta Casserole Recipe - 101 Cookbooks,6,316,8,2,3,1,0,0,276,187,36,4,5,19,https://images.101cookbooks.com/cheeseless_pasta_casserole.jpg?w=680,https://www.myfitnesspal.com/recipe/view/274351685283773
71,Rishi,Cocktails,Drinks,Cocktail: Honey & Smoke Mezcal,1,154,0,0,0,0,0,0,17,34,13,0,11,0,http://bygabriella.co/wp-content/uploads/2017/01/honeyandsmoke_15-681x1024.jpg,https://www.myfitnesspal.com/recipe/view/265151847403389
172,Rishi,Asian,Pasta,Rainbow Vegetarian Pad Thai with Peanuts and Basil - Pinch of Yum,4,258,8,1,5,1,0,1,1359,388,36,4,17,7,http://cdn.pinchofyum.com/wp-content/uploads/Vegetarian-Pad-Tha-2-2.jpg,https://www.myfitnesspal.com/recipe/view/243272907623789
144,Rishi,Western,Dessert,No Bake Chocolate Coconut Oatmeal Cookies,8,307,20,13,4,3,0,0,38,129,22,4,5,7,http://freecoconutrecipes.com/wp-content/uploads/sites/10/2014/08/No_Bake_Chocolate_Coconut_Oatmeal_Cookies_recipe_photo.jpg,https://www.myfitnesspal.com/recipe/view/18863264427901
